time,open,high,low,close,ATVV,Plot
1736764200,2678.03,2682.836,2677.91,2679.4,31608.1,26686.32
1736766000,2679.23,2680.62,2677.09,2677.878,30052.5,27287.025
1736767800,2677.908,2679.299,2674.85,2675.52,29349.55,27826.73
1736769600,2675.899,2677.099,2667.42,2668.698,30048.35,28431.784999999996
1736771400,2668.698,2672.981,2664.08,2671.091,30829.2,29138.864999999998
1736773200,2670.993,2672.27,2666.29,2668.945,32442.55,29858.25
1736775000,2668.85,2670.17,2663.14,2669.075,34276.7,30633.249999999993
1736776800,2669.33,2670.95,2666.615,2668.19,35588,31402.284999999996
1736778600,2668.19,2674.29,2663.899,2671.62,38172.95,32290.129999999994
1736780400,2671.748,2672.93,2664.055,2664.77,40295.5,33266.34
1736782200,2664.959,2668.17,2660.849,2661.91,41692.55,34274.784999999996
1736784000,2661.9,2667.83,2660.498,2666.98,43083.35,35577.869999999995
1736785800,2666.98,2668.12,2660.869,2661.049,43815.7,37024.485
1736787600,2661.25,2664.21,2659.94,2661.27,44577.6,38477.409999999996
1736789400,2661.059,2661.91,2659.075,2660.808,45013.35,39895.825
1736791200,2660.85,2662.6,2657.498,2659.75,44865.9,41138.159999999996
1736793000,2659.525,2661.97,2658.858,2658.858,44723.75,42182.865
1736794800,2659.28,2659.6,2656.615,2658.67,44419.65,43066.03
1736796600,2658.513,2660.66,2657.755,2658.825,43981.65,43646.9
1736798400,2658.9,2660.54,2658.688,2659.62,43355.75,43952.925
1736800200,2659.62,2662.85,2659.079,2662.31,43100.45,44093.715000000004
1736802000,2662.245,2663.03,2660.745,2662.56,42300.25,44015.405000000006
1736803800,2662.568,2664.18,2662.1,2662.475,41275.8,43761.415
1736809200,2662.703,2666.08,2662.248,2665.739,39512.1,43254.865000000005
1736811000,2665.739,2669.32,2665.735,2667.86,37949.25,42548.455
1736812800,2667.83,2669.03,2666.059,2667.63,35613.85,41623.25000000001
1736814600,2667.63,2671.13,2667.125,2670.255,33753.3,40526.205
1736816400,2670.43,2672.18,2669.305,2670.07,33198.4,39404.08
1736818200,2670.07,2671.58,2667.675,2670.64,31457.35,38151.65
1736820000,2670.71,2671.21,2668.375,2669.33,29471.65,36763.24
1736821800,2669.34,2672.17,2669.025,2670.4,27829.45,35236.14
1736823600,2670.4,2672.29,2668.638,2670.74,27011,33707.215000000004
1736825400,2670.69,2671.98,2668.855,2669.82,25955.4,32175.175
1736827200,2669.62,2670.05,2668.22,2669.64,24438.9,30667.855000000003
1736829000,2669.64,2674.08,2669.03,2673.405,23546.8,29227.610000000004
1736830800,2673.468,2675.35,2670.495,2670.87,22892.1,27955.435000000005
1736832600,2670.885,2671.44,2667.155,2668.32,22911.15,26871.22
1736834400,2668.32,2669.67,2667.22,2668.108,22623.75,25813.755000000005
1736836200,2668.119,2669.64,2667.4,2668.9,22368.85,24904.905000000002
1736838000,2669.05,2670.91,2668.16,2668.34,22408.55,24198.594999999998
1736839800,2668.34,2670.24,2666.985,2669.09,22379.1,23653.559999999998
1736841600,2669.108,2673.77,2667.09,2672.939,23941.6,23346.62
1736843400,2672.935,2674.439,2669.845,2671,25363.2,23287.4
1736845200,2670.959,2671.62,2667.788,2668.76,26690.05,23512.515
1736847000,2668.7,2669.56,2664.699,2667.125,27677.85,23925.620000000003
1736848800,2667.239,2668.88,2664.495,2665.799,28666.4,24503.05
1736850600,2665.83,2667.4,2664.479,2666.495,29130.85,25125.02
1736852400,2666.65,2667.34,2664.439,2665.58,28564.5,25719.095
1736854200,2665.58,2669.82,2665.455,2669.025,28039.65,26286.175
1736856000,2669.15,2671.64,2665.96,2669.8,28545.95,26899.915
1736857800,2669.74,2670.09,2666.265,2668.299,28568.15,27518.82
1736859600,2668.279,2670.81,2664.705,2666.55,29478.15,28072.475
1736861400,2666.788,2674.38,2660.67,2662.695,32676.9,28803.845
1736863200,2662.879,2664.2,2659.645,2661.011,35347.25,29669.565000000002
1736865000,2661.01,2665.99,2660.135,2665.12,38229.2,30724.7
1736866800,2665.24,2672.83,2664.945,2671.07,39920.3,31850.090000000004
1736868600,2671.05,2672.7,2668.138,2671.64,41350.45,33072.05
1736870400,2671.478,2673.77,2669.805,2671.7,42563,34471.9
1736872200,2671.71,2674.02,2669.585,2671.6,44009,36068.835
1736874000,2671.63,2672.06,2667.825,2670.288,45087.95,37723.034999999996
1736875800,2670.35,2671.79,2668.348,2668.92,45242.55,39390.475
1736877600,2668.92,2669.38,2666.495,2669.23,44947.45,40937.405
1736879400,2669.3,2672.58,2669.225,2672.31,44675.25,42137.24
1736881200,2672.31,2674.1,2671.669,2673.22,44263.95,43028.909999999996
1736883000,2673.029,2676.31,2672.555,2674.29,44082.65,43614.255
1736884800,2674.29,2674.7,2671.675,2674.37,44020.45,44024.27
1736886600,2674.359,2676.56,2673.135,2676.348,44325.25,44321.75
1736888400,2676.37,2678.05,2675.648,2676.67,43458.3,44411.28
1736890200,2676.67,2678.16,2675.96,2676.875,42240.1,44234.39
1736895600,2677.253,2679.439,2674.56,2674.95,40783.7,43803.965000000004
1736897400,2674.9,2675.85,2673.815,2675.415,39628.8,43242.590000000004
1736899200,2675.501,2676.03,2673.575,2673.88,37478.35,42495.68000000001
1736901000,2673.719,2674,2672.535,2672.71,33771.5,41405.30500000001
1736902800,2672.643,2674.34,2671.755,2672.745,31682.6,40147.170000000006
1736904600,2672.793,2674.3,2669.751,2670,28920.45,38630.950000000004
1736906400,2669.95,2673.85,2669.251,2672.02,27085.15,36937.42000000001
1736908200,2671.92,2675.04,2669.979,2673.328,25626.7,35067.56500000001
1736910000,2673.41,2675.6,2672.108,2675.17,24267.1,33148.445000000014
1736911800,2675.108,2676.25,2674.241,2676.021,22343.5,31158.785000000014
1736913600,2676.039,2676.74,2674.985,2675.44,20686.85,29149.100000000017
1736915400,2675.281,2675.99,2673.945,2675.63,19971.15,27183.335000000014
1736917200,2675.528,2676.12,2674.385,2675.24,19246.45,25360.145000000015
1736919000,2675.26,2679.37,2675.025,2679.095,19276.4,23910.635000000017
1736920800,2679.26,2683.26,2678.975,2681.9,19434.05,22685.780000000017
1736922600,2681.83,2683.2,2680.495,2680.83,19163.4,21710.075000000015
1736924400,2680.83,2683.19,2680.205,2682.69,18805.6,20882.120000000014
1736926200,2682.69,2684.13,2679.86,2681.32,18496.75,20169.12500000001
1736928000,2681.203,2685.3,2681.045,2683.45,19996.5,19742.06500000001
1736929800,2683.435,2684.31,2681.625,2683.735,21010.95,19608.810000000012
1736931600,2683.77,2686.27,2682.745,2685.45,22526.35,19792.76000000001
1736933400,2685.45,2688.56,2685.005,2685.8,23846.65,20180.31000000001
1736935200,2685.8,2686.693,2684.638,2685.2,24935.75,20749.240000000013
1736937000,2685.3,2689.063,2685.005,2688.288,26264.5,21448.05000000001
1736938800,2688.36,2688.96,2685.365,2687.5,26940.95,22198.740000000013
1736940600,2687.36,2688.29,2685.1,2686.685,27521.55,23034.55500000001
1736942400,2686.96,2687.54,2684.375,2686.7,28098,23963.795000000013
1736944200,2686.539,2687.29,2683.915,2684.465,28424.95,24956.615000000013
1736946000,2684.61,2686.83,2682.025,2683.299,29925,25949.465000000015
