T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,2,2287.915,0,2287.91,2287.92,2287.92,2287.91,1714532400000,2,,0,,0,0,0,0,0,false
,3,2288.0267,0,2288.19,2287.98,2288.19,2287.91,1714532460000,3,,0,,0,0,0,0,0,false
,3,2287.9533,0,2288.26,2288.2,2288.26,2287.4,1714532520000,3,,0,,0,0,0,0,0,false
,4,2287.815,0,2287.98,2288.1,2288.1,2287.1,1714532580000,4,,0,,0,0,0,0,0,false
,3,2287.9467,0,2287.94,2287.82,2288.08,2287.82,1714532640000,3,,0,,0,0,0,0,0,false
,2,2287.8,0,2287.92,2287.68,2287.92,2287.68,1714532700000,2,,0,,0,0,0,0,0,false
,3,2287.7,0,2287.59,2287.59,2287.92,2287.59,1714532760000,3,,0,,0,0,0,0,0,false
,3,2287.3633,0,2287,2287.49,2287.6,2287,1714532820000,3,,0,,0,0,0,0,0,false
,3,2287.3633,0,2287.59,2287.09,2287.59,2287.09,1714532880000,3,,0,,0,0,0,0,0,false
,3,2287.22,0,2287.06,2287.19,2287.41,2287.06,1714532940000,3,,0,,0,0,0,0,0,false
,2,2287.385,0,2287.43,2287.34,2287.43,2287.34,1714533000000,2,,0,,0,0,0,0,0,false
,4,2286.98,0,2287.23,2287.06,2287.43,2286.2,1714533060000,4,,0,,0,0,0,0,0,false
,3,2286.6733,0,2287,2287.02,2287.02,2286,1714533120000,3,,0,,0,0,0,0,0,false
,4,2286.7275,0,2287.06,2286.92,2287.06,2286,1714533180000,4,,0,,0,0,0,0,0,false
,3,2287.1633,0,2287.28,2287.28,2287.28,2286.93,1714533240000,3,,0,,0,0,0,0,0,false
,2,2287.105,0,2287.28,2286.93,2287.28,2286.93,1714533300000,2,,0,,0,0,0,0,0,false
,3,2287.1867,0,2287.12,2287.18,2287.26,2287.12,1714533360000,3,,0,,0,0,0,0,0,false
,2,2287.115,0,2287.11,2287.12,2287.12,2287.11,1714533420000,2,,0,,0,0,0,0,0,false
,4,2286.69,0,2287.18,2286.54,2287.18,2286,1714533480000,4,,0,,0,0,0,0,0,false
,3,2286.58,0,2286.25,2287.03,2287.03,2286.25,1714533540000,3,,0,,0,0,0,0,0,false
,2,2286.49,0,2286.48,2286.5,2286.5,2286.48,1714533600000,2,,0,,0,0,0,0,0,false
,4,2286.3225,0,2286.67,2286.44,2286.67,2285.7,1714533660000,4,,0,,0,0,0,0,0,false
,2,2285.84,0,2285.82,2285.86,2285.86,2285.82,1714533720000,2,,0,,0,0,0,0,0,false
,3,2285.96,0,2286.44,2285.55,2286.44,2285.55,1714533780000,3,,0,,0,0,0,0,0,false
,3,2285.86,0,2285.85,2285.88,2285.88,2285.85,1714533840000,3,,0,,0,0,0,0,0,false
,2,2285.995,0,2285.85,2286.14,2286.14,2285.85,1714533900000,2,,0,,0,0,0,0,0,false
,3,2286.2,0,2286.22,2286.53,2286.53,2285.85,1714533960000,3,,0,,0,0,0,0,0,false
,2,2286.635,0,2286.56,2286.71,2286.71,2286.56,1714534020000,2,,0,,0,0,0,0,0,false
,3,2286.7333,0,2286.23,2287.03,2287.03,2286.23,1714534080000,3,,0,,0,0,0,0,0,false
,3,2287.2,0,2287.21,2287.03,2287.36,2287.03,1714534140000,3,,0,,0,0,0,0,0,false
,2,2287.42,0,2287.43,2287.41,2287.43,2287.41,1714534200000,2,,0,,0,0,0,0,0,false
,3,2286.87,0,2286.63,2286.55,2287.43,2286.55,1714534260000,3,,0,,0,0,0,0,0,false
,2,2286.39,0,2286.52,2286.26,2286.52,2286.26,1714534320000,2,,0,,0,0,0,0,0,false
,3,2286.45,0,2286.76,2286.31,2286.76,2286.28,1714534380000,3,,0,,0,0,0,0,0,false
,3,2286.3,0,2286.3,2286.31,2286.31,2286.29,1714534440000,3,,0,,0,0,0,0,0,false
,3,2285.8133,0,2286.17,2286.07,2286.17,2285.2,1714534500000,3,,0,,0,0,0,0,0,false
,3,2286.3,0,2286.45,2286.28,2286.45,2286.17,1714534560000,3,,0,,0,0,0,0,0,false
,2,2285.6,0,2285.69,2285.51,2285.69,2285.51,1714534620000,2,,0,,0,0,0,0,0,false
,3,2285.6867,0,2286.28,2285.33,2286.28,2285.33,1714534680000,3,,0,,0,0,0,0,0,false
,3,2285.6,0,2285.75,2285.33,2285.75,2285.33,1714534740000,3,,0,,0,0,0,0,0,false
,3,2285.41,0,2285.65,2285.98,2285.98,2284.6,1714534800000,3,,0,,0,0,0,0,0,false
,3,2285.73,0,2285.86,2285.68,2285.86,2285.65,1714534860000,3,,0,,0,0,0,0,0,false
,2,2285.57,0,2285.58,2285.56,2285.58,2285.56,1714534920000,2,,0,,0,0,0,0,0,false
,3,2285.6967,0,2285.68,2285.64,2285.77,2285.64,1714534980000,3,,0,,0,0,0,0,0,false
,3,2285.6033,0,2285.67,2285.64,2285.67,2285.5,1714535040000,3,,0,,0,0,0,0,0,false
,2,2285.42,0,2285.62,2285.22,2285.62,2285.22,1714535100000,2,,0,,0,0,0,0,0,false
,3,2285.41,0,2285.29,2285.32,2285.62,2285.29,1714535160000,3,,0,,0,0,0,0,0,false
,2,2285.27,0,2285.35,2285.19,2285.35,2285.19,1714535220000,2,,0,,0,0,0,0,0,false
,3,2285.1867,0,2285.32,2285.07,2285.32,2285.07,1714535280000,3,,0,,0,0,0,0,0,false
,3,2285.0467,0,2285.03,2285.07,2285.07,2285.03,1714535340000,3,,0,,0,0,0,0,0,false
,2,2284.985,0,2285.03,2284.94,2285.03,2284.94,1714535400000,2,,0,,0,0,0,0,0,false
,3,2284.97,0,2284.9,2284.98,2285.03,2284.9,1714535460000,3,,0,,0,0,0,0,0,false
,2,2284.965,0,2284.99,2284.94,2284.99,2284.94,1714535520000,2,,0,,0,0,0,0,0,false
,3,2284.86,0,2284.98,2284.67,2284.98,2284.67,1714535580000,3,,0,,0,0,0,0,0,false
,3,2284.4567,0,2284.55,2284.67,2284.67,2284.15,1714535640000,3,,0,,0,0,0,0,0,false
,2,2284.205,0,2284.34,2284.07,2284.34,2284.07,1714535700000,2,,0,,0,0,0,0,0,false
,3,2284.15,0,2284.04,2284.07,2284.34,2284.04,1714535760000,3,,0,,0,0,0,0,0,false
,2,2283.985,0,2283.84,2284.13,2284.13,2283.84,1714535820000,2,,0,,0,0,0,0,0,false
,3,2284.15,0,2284.07,2284.15,2284.23,2284.07,1714535880000,3,,0,,0,0,0,0,0,false
,5,2284.238,0,2284.38,2284.15,2284.38,2284.15,1714535940000,5,,0,,0,0,0,0,0,false
,3,2287.1133,0,2287.21,2287.01,2287.21,2287.01,1714542000000,3,,0,,0,0,0,0,0,false
,3,2287.1567,0,2287.04,2287.01,2287.42,2287.01,1714542060000,3,,0,,0,0,0,0,0,false
,2,2287.21,0,2287.23,2287.19,2287.23,2287.19,1714542120000,2,,0,,0,0,0,0,0,false
,4,2286.9125,0,2287.27,2287.01,2287.27,2286.3,1714542180000,4,,0,,0,0,0,0,0,false
,2,2287.365,0,2287.41,2287.32,2287.41,2287.32,1714542240000,2,,0,,0,0,0,0,0,false
,3,2287.1167,0,2287.01,2287.01,2287.33,2287.01,1714542300000,3,,0,,0,0,0,0,0,false
,4,2286.97,0,2286.1,2287.32,2287.33,2286.1,1714542360000,4,,0,,0,0,0,0,0,false
,2,2287.1,0,2287.19,2287.01,2287.19,2287.01,1714542420000,2,,0,,0,0,0,0,0,false
,4,2287.015,0,2286.4,2287.14,2287.33,2286.4,1714542480000,4,,0,,0,0,0,0,0,false
,2,2287.255,0,2287.2,2287.31,2287.31,2287.2,1714542540000,2,,0,,0,0,0,0,0,false
,3,2287.2367,0,2287.14,2287.31,2287.31,2287.14,1714542600000,3,,0,,0,0,0,0,0,false
,3,2287.66,0,2288.16,2287.31,2288.16,2287.31,1714542660000,3,,0,,0,0,0,0,0,false
,2,2287.485,0,2287.68,2287.29,2287.68,2287.29,1714542720000,2,,0,,0,0,0,0,0,false
,3,2287.52,0,2287.45,2287.8,2287.8,2287.31,1714542780000,3,,0,,0,0,0,0,0,false
,2,2287.93,0,2287.95,2287.91,2287.95,2287.91,1714542840000,2,,0,,0,0,0,0,0,false
