time,open,high,low,close,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close)
1739286900,2901.14,2901.3,2896.445,2898.16,0,0,-8384,-4532
1739287800,2898.17,2904.78,2896.605,2904.01,0,20764,0,20764
1739288700,2903.958,2906.59,2903.505,2904.69,0,6397,0,1244
1739289600,2904.625,2906.7,2902.975,2906.43,0,5408,-2639,5401
1739290500,2906.325,2908.67,2905.375,2906.861,0,4087,-32,4087
1739291400,2906.83,2907.08,2903.175,2903.86,0,1464,-3549,1464
1739292300,2903.8,2905.54,2902.125,2902.206,0,2238,-4036,-4036
1739293200,2902.36,2902.43,2899.455,2900.765,0,0,-6725,-2495
1739294100,2901.04,2905.43,2900.445,2905.42,0,10586,0,10586
1739295000,2905.4,2906.71,2904.495,2905.94,0,4038,-687,2452
1739295900,2905.805,2907.35,2905.165,2905.56,0,2955,-4009,-4009
1739296800,2905.65,2907.2,2904.055,2905.375,0,4781,-1668,-544
1739297700,2905.466,2906.57,2903.075,2904.43,0,5991,0,5991
1739298600,2904.297,2906.46,2904.015,2905.69,0,2631,0,819
1739299500,2905.87,2906.47,2904.905,2905.801,0,1251,-1506,-328
1739300400,2905.595,2906.47,2903.935,2904.315,0,2273,-1915,-971
1739301300,2904.45,2904.7,2900.475,2901.71,0,0,-8708,-7507
1739302200,2901.637,2903.32,2900.155,2901.585,0,0,-5608,-4948
1739303100,2901.77,2901.91,2899.605,2900.217,0,0,-5243,-3603
1739304000,2900.125,2900.53,2898.055,2898.146,0,0,-5172,-4745
1739304900,2898.146,2898.45,2894.215,2895.63,0,75,-10059,-5992
1739305800,2895.59,2896.91,2893.855,2896.6,0,0,-4470,-2072
1739306700,2896.506,2898.22,2896.325,2897.55,0,4326,-3728,-3728
1739307600,2897.506,2898.84,2897.165,2897.706,0,1453,-358,-358
1739308500,2897.92,2899.6,2897.565,2899.08,0,1187,-142,382
1739309400,2899.01,2899.09,2897.765,2898.395,0,0,-1833,-1046
1739310300,2898.69,2899.79,2896.755,2897.23,0,375,-1130,-923
1739314800,2896.571,2898.67,2895.07,2897.9,0,734,0,549
