time,open,high,low,close,Basis,Upper,Lower,ATVV,Plot,Histogram,MACD,Signal,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1738224000,2769.26,2771.96,2768.27,2770.91,2762.9760000000233,2769.4785760576483,2756.4734239423983,1213.75,1116.1749999999997,0.8605956167518714,2.3735577268548695,1.5129621101029982,0.47069363306991724,0.614139401162022,0.10040334214388313
1738224900,2770.9,2772.91,2770.06,2772.6,2763.584500000023,2771.2022594078003,2755.966740592246,1245.05,1131.275,1.005955928403812,2.770407020607763,1.7644510922039511,0.5512955661588849,0.614139401162022,0.10040334214388313
1738225800,2772.46,2773.64,2771.54,2771.91,2764.107000000023,2772.467521717856,2755.7464782821903,1252.45,1149.715,0.9842107317819266,2.994714506931359,2.0105037751494326,0.6049347378978298,0.614139401162022,0.10040334214388313
1738226700,2771.9,2776.47,2770.88,2776.17,2764.8305000000228,2774.6156406940786,2755.045359305967,1306.4,1174.7999999999997,1.1725211796391917,3.4761552496984223,2.3036340700592306,0.7078293366668045,0.7078293366668045,0.10040334214388313
1738227600,2776.2,2776.33,2773.35,2774.93,2765.4365000000225,2776.107185563806,2754.765814436239,1362.75,1205.3799999999999,1.1289493272149582,3.7148207290779283,2.58587140186297,0.7717179956063681,0.7717179956063681,0.1063222504741148
1738228500,2774.99,2775.92,2771.43,2775.27,2766.0930000000226,2777.4642674494485,2754.7217325505967,1401.45,1237.5149999999999,1.0405810547361316,3.8865977202831345,2.846016665547003,0.8221898142561218,0.8221898142561218,0.11174937276380681
1738229400,2775.3,2775.83,2773.38,2774.91,2766.796500000023,2778.5163622172804,2755.076637782766,1449.75,1270.54,0.8817236054989124,3.9481711724206434,3.066447566921731,0.8471791992838786,0.8471791992838786,0.11174937276380681
1738230300,2774.9,2775.58,2773.3,2774.22,2767.4910000000227,2779.2419316819673,2755.740068318078,1484.75,1304.7849999999999,0.6639430203494214,3.896376342358508,3.2324333220090864,0.8492119166381769,0.8492119166381769,0.11174937276380681
1738231200,2774.16,2776.59,2773.79,2776.54,2768.3005000000226,2780.201816667013,2756.399183333032,1513.1,1341.3249999999998,0.6112248809254424,3.9964644231658895,3.385239542240447,0.8598283796856973,0.8598283796856973,0.11174937276380681
1738232100,2776.53,2779.07,2776.42,2777.97,2769.1845000000226,2781.2003952396376,2757.1686047604076,1559.1,1378.8549999999998,0.6065374307330966,4.143411330656818,3.5368738999237213,0.8678291561732286,0.8678291561732286,0.11174937276380681
1738233000,2777.96,2779.22,2777.49,2778.2,2770.1315000000222,2781.851193272638,2758.4118067274067,1593.2,1416.7999999999997,0.5542367918514501,4.229669889738034,3.6754330978865837,0.8461470708242905,0.8678291561732286,0.11174937276380681
1738233900,2778.12,2778.4,2777.14,2778.3,2771.0190000000225,2782.384933107716,2759.653066892329,1624,1454.6949999999997,0.46527530057714905,4.25702722360802,3.791751923030871,0.8203432100388496,0.8678291561732286,0.11174937276380681
1738234800,2778.29,2778.38,2777.04,2777.85,2771.8465000000224,2782.6578889214875,2761.0351110785573,1635.45,1492.9949999999997,0.3218388340112499,4.194050465544933,3.872211631533683,0.7800856881118783,0.8678291561732286,0.11174937276380681
1738235700,2777.84,2779.41,2777.53,2778.25,2772.702000000022,2782.663613494546,2762.740386505498,1645.4,1526.8949999999995,0.2052891633238607,4.128823085688509,3.9235339223646486,0.7185491621186818,0.8678291561732286,0.11174937276380681
1738236600,2778.29,2779.46,2777.83,2778.02,2773.524000000022,2782.324423592875,2764.7235764071693,1658.5,1556.4699999999996,0.07102831800220244,4.012319319867402,3.941291001865199,0.6346023032685366,0.8678291561732286,0.11174937276380681
1738237500,2778.01,2778.41,2777.21,2777.65,2774.1350000000225,2782.2748021724897,2765.9951978275553,1652,1581.5249999999996,-0.07639173392941823,3.8458013344534265,3.9221930683828448,0.5868353322723735,0.8678291561732286,0.11174937276380681
1738238400,2777.62,2778.68,2776.11,2778.63,2774.7475000000227,2782.2820042573735,2767.212995742672,1660.85,1602.6349999999998,-0.1380037605375879,3.74968836771086,3.887692128248448,0.5430767489546892,0.8678291561732286,0.11174937276380681
